lcd_id,lcd_version,state_id,last_updated
33942,48,8,2024-07-11 14:14:53.887000000
33942,48,10,2024-07-11 14:14:53.887000000
33942,48,11,2024-07-11 14:14:53.887000000
33942,48,17,2024-07-11 14:14:53.887000000
33942,48,21,2024-07-11 14:14:53.887000000
33942,48,25,2024-07-11 14:14:53.887000000
33942,48,29,2024-07-11 14:14:53.887000000
33942,48,32,2024-07-11 14:14:53.887000000
33942,48,35,2024-07-11 14:14:53.887000000
33942,48,36,2024-07-11 14:14:53.887000000
33942,48,45,2024-07-11 14:14:53.887000000
33942,48,49,2024-07-11 14:14:53.887000000
33942,48,52,2024-07-11 14:14:53.887000000
33942,48,53,2024-07-11 14:14:53.887000000
33942,48,58,2024-07-11 14:14:53.887000000
33942,48,59,2024-07-11 14:14:53.887000000
34538,19,8,2024-07-11 14:20:42.977000000
34538,19,10,2024-07-11 14:20:42.977000000
34538,19,11,2024-07-11 14:20:42.977000000
34538,19,17,2024-07-11 14:20:42.977000000
34538,19,21,2024-07-11 14:20:42.977000000
34538,19,25,2024-07-11 14:20:42.977000000
34538,19,29,2024-07-11 14:20:42.977000000
34538,19,32,2024-07-11 14:20:42.977000000
34538,19,35,2024-07-11 14:20:42.977000000
34538,19,36,2024-07-11 14:20:42.977000000
34538,19,45,2024-07-11 14:20:42.977000000
34538,19,49,2024-07-11 14:20:42.977000000
34538,19,52,2024-07-11 14:20:42.977000000
34538,19,53,2024-07-11 14:20:42.977000000
34538,19,58,2024-07-11 14:20:42.977000000
34538,19,59,2024-07-11 14:20:42.977000000
34544,47,2,2024-07-23 15:47:04.930000000
34544,47,3,2024-07-23 15:47:04.930000000
34544,47,12,2024-07-23 15:47:04.930000000
34544,47,14,2024-07-23 15:47:04.930000000
34544,47,19,2024-07-23 15:47:04.930000000
34544,47,20,2024-07-23 15:47:04.930000000
34544,47,22,2024-07-23 15:47:04.930000000
34544,47,23,2024-07-23 15:47:04.930000000
34544,47,31,2024-07-23 15:47:04.930000000
34544,47,34,2024-07-23 15:47:04.930000000
34544,47,39,2024-07-23 15:47:04.930000000
34544,47,42,2024-07-23 15:47:04.930000000
34544,47,43,2024-07-23 15:47:04.930000000
34544,47,48,2024-07-23 15:47:04.930000000
34544,47,50,2024-07-23 15:47:04.930000000
34544,47,51,2024-07-23 15:47:04.930000000
34547,40,2,2024-11-06 19:24:38.180000000
34547,40,3,2024-11-06 19:24:38.180000000
34547,40,12,2024-11-06 19:24:38.180000000
34547,40,14,2024-11-06 19:24:38.180000000
34547,40,19,2024-11-06 19:24:38.180000000
34547,40,20,2024-11-06 19:24:38.180000000
34547,40,22,2024-11-06 19:24:38.180000000
34547,40,23,2024-11-06 19:24:38.180000000
34547,40,31,2024-11-06 19:24:38.180000000
34547,40,34,2024-11-06 19:24:38.180000000
34547,40,39,2024-11-06 19:24:38.180000000
34547,40,42,2024-11-06 19:24:38.180000000
34547,40,43,2024-11-06 19:24:38.180000000
34547,40,48,2024-11-06 19:24:38.180000000
34547,40,50,2024-11-06 19:24:38.180000000
34547,40,51,2024-11-06 19:24:38.180000000
34548,43,2,2024-03-11 13:41:15.383000000
34548,43,3,2024-03-11 13:41:15.383000000
34548,43,12,2024-03-11 13:41:15.383000000
34548,43,14,2024-03-11 13:41:15.383000000
34548,43,19,2024-03-11 13:41:15.383000000
34548,43,20,2024-03-11 13:41:15.383000000
34548,43,22,2024-03-11 13:41:15.383000000
34548,43,23,2024-03-11 13:41:15.383000000
34548,43,31,2024-03-11 13:41:15.383000000
34548,43,34,2024-03-11 13:41:15.383000000
34548,43,39,2024-03-11 13:41:15.383000000
34548,43,42,2024-03-11 13:41:15.383000000
34548,43,43,2024-03-11 13:41:15.383000000
34548,43,48,2024-03-11 13:41:15.383000000
34548,43,50,2024-03-11 13:41:15.383000000
34548,43,51,2024-03-11 13:41:15.383000000
34558,40,2,2023-12-29 17:59:04.383000000
34558,40,3,2023-12-29 17:59:04.383000000
34558,40,12,2023-12-29 17:59:04.383000000
34558,40,14,2023-12-29 17:59:04.383000000
34558,40,19,2023-12-29 17:59:04.383000000
34558,40,20,2023-12-29 17:59:04.383000000
34558,40,22,2023-12-29 17:59:04.383000000
34558,40,23,2023-12-29 17:59:04.383000000
34558,40,31,2023-12-29 17:59:04.383000000
34558,40,34,2023-12-29 17:59:04.383000000
34558,40,39,2023-12-29 17:59:04.383000000
34558,40,42,2023-12-29 17:59:04.383000000
34558,40,43,2023-12-29 17:59:04.383000000
34558,40,48,2023-12-29 17:59:04.383000000
34558,40,50,2023-12-29 17:59:04.383000000
34558,40,51,2023-12-29 17:59:04.383000000
34559,43,2,2024-11-13 14:22:41.743000000
34559,43,3,2024-11-13 14:22:41.743000000
34559,43,12,2024-11-13 14:22:41.743000000
34559,43,14,2024-11-13 14:22:41.743000000
34559,43,19,2024-11-13 14:22:41.743000000
34559,43,20,2024-11-13 14:22:41.743000000
34559,43,22,2024-11-13 14:22:41.743000000
34559,43,23,2024-11-13 14:22:41.743000000
34559,43,31,2024-11-13 14:22:41.743000000
34559,43,34,2024-11-13 14:22:41.743000000
34559,43,39,2024-11-13 14:22:41.743000000
34559,43,42,2024-11-13 14:22:41.743000000
34559,43,43,2024-11-13 14:22:41.743000000
34559,43,48,2024-11-13 14:22:41.743000000
34559,43,50,2024-11-13 14:22:41.743000000
34559,43,51,2024-11-13 14:22:41.743000000
34560,76,2,2022-06-03 23:05:09.523000000
34560,76,3,2022-06-03 23:05:09.523000000
34560,76,12,2022-06-03 23:05:09.523000000
34560,76,14,2022-06-03 23:05:09.523000000
34560,76,19,2022-06-03 23:05:09.523000000
34560,76,20,2022-06-03 23:05:09.523000000
34560,76,22,2022-06-03 23:05:09.523000000
34560,76,23,2022-06-03 23:05:09.523000000
34560,76,31,2022-06-03 23:05:09.523000000
34560,76,34,2022-06-03 23:05:09.523000000
34560,76,39,2022-06-03 23:05:09.523000000
34560,76,42,2022-06-03 23:05:09.523000000
34560,76,43,2022-06-03 23:05:09.523000000
34560,76,48,2022-06-03 23:05:09.523000000
34560,76,50,2022-06-03 23:05:09.523000000
34560,76,51,2022-06-03 23:05:09.523000000
34561,69,2,2023-11-03 16:02:26.037000000
34561,69,3,2023-11-03 16:02:26.037000000
34561,69,12,2023-11-03 16:02:26.037000000
34561,69,14,2023-11-03 16:02:26.037000000
