lcd_id,lcd_version,related_num,r_ncd_id,r_ncd_version,last_updated
38528,7,2,226,1,2025-04-29 23:04:19.120000000
38528,7,3,330,1,2025-04-29 23:04:19.120000000
38549,12,1,0,1,2025-04-29 23:04:24.010000000
38551,14,1,0,1,2025-04-29 23:04:24.010000000
38566,6,1,0,1,2025-04-29 23:04:15.370000000
38568,7,1,112,1,2025-04-29 23:04:15.377000000
38571,8,1,281,1,2025-04-29 23:04:22.977000000
38576,8,1,372,1,2025-04-29 23:04:15.377000000
38582,7,1,0,1,2025-04-29 23:04:19.627000000
38582,9,1,0,1,2025-04-29 23:04:19.627000000
38584,10,1,0,1,2025-04-29 23:04:19.627000000
38586,7,1,372,1,2025-04-29 23:04:19.630000000
38586,8,1,372,1,2025-04-29 23:04:19.630000000
38613,11,1,176,1,2025-04-29 23:04:17.480000000
38615,11,1,176,1,2025-04-29 23:04:17.483000000
38617,31,1,190,1,2025-04-29 23:04:23.340000000
38617,31,2,223,1,2025-04-29 23:04:23.340000000
38617,31,3,222,1,2025-04-29 23:04:23.347000000
38623,15,1,0,1,2025-04-29 23:04:23.240000000
38629,3,1,112,1,2025-04-29 23:04:17.483000000
38643,5,1,0,1,2025-04-29 23:04:17.487000000
38645,5,1,0,1,2025-04-29 23:04:17.487000000
38647,9,1,372,1,2025-04-29 23:04:17.490000000
38649,10,1,372,1,2025-04-29 23:04:17.490000000
38657,15,1,0,1,2025-04-29 23:04:17.493000000
38657,17,1,0,1,2025-04-29 23:04:17.493000000
38659,11,1,0,1,2025-04-29 23:04:17.493000000
38659,13,1,0,1,2025-04-29 23:04:17.493000000
38662,14,1,0,1,2025-04-29 23:04:19.633000000
38664,26,1,222,1,2025-04-29 23:04:16.900000000
38664,26,2,190,1,2025-04-29 23:04:16.900000000
38664,26,3,223,1,2025-04-29 23:04:16.900000000
38667,3,1,176,1,2025-04-29 23:04:22.980000000
38671,4,1,112,1,2025-04-29 23:04:17.493000000
38678,7,1,0,1,2025-04-29 23:04:19.123000000
38680,5,1,112,1,2025-04-29 23:04:19.123000000
38680,7,1,112,1,2025-04-29 23:04:19.123000000
38682,10,1,152,1,2025-04-29 23:04:19.127000000
38682,10,2,268,1,2025-04-29 23:04:19.127000000
38684,6,1,372,1,2025-04-29 23:04:19.130000000
38684,8,1,372,1,2025-04-29 23:04:19.130000000
38686,14,1,98,1,2025-04-29 23:04:19.130000000
38686,14,2,251,1,2025-04-29 23:04:19.133000000
38686,14,3,222,1,2025-04-29 23:04:19.137000000
38694,10,1,0,1,2025-04-29 23:04:19.633000000
38700,4,1,0,1,2025-04-29 23:04:17.497000000
38705,7,1,0,1,2025-04-29 23:04:17.497000000
38707,8,1,0,1,2025-04-29 23:04:17.497000000
38709,4,1,0,1,2025-04-29 23:04:17.500000000
38712,7,1,0,1,2025-04-29 23:04:23.353000000
38712,16,1,0,1,2025-04-29 23:04:23.367000000
38712,18,1,0,1,2025-04-29 23:04:23.373000000
38720,6,1,263,1,2025-04-29 23:04:16.903000000
38726,7,1,0,1,2025-04-29 23:04:16.903000000
38726,14,1,0,1,2025-04-29 23:04:16.910000000
38726,15,1,0,1,2025-04-29 23:04:16.913000000
38726,17,1,0,1,2025-04-29 23:04:16.917000000
38737,13,1,0,1,2025-04-29 23:04:24.013000000
38743,15,1,0,1,2025-04-29 23:04:24.013000000
38745,15,1,217,6,2024-08-05 20:49:23.673000000
38745,17,1,217,1,2025-04-29 23:04:24.017000000
38747,9,1,0,1,2025-04-29 23:04:24.017000000
38755,6,1,281,1,2025-04-29 23:04:24.020000000
38765,20,1,11,1,2025-04-29 23:04:24.020000000
38765,20,2,15,1,2025-04-29 23:04:24.023000000
38765,20,3,176,1,2025-04-29 23:04:24.023000000
38769,14,1,176,1,2025-04-29 23:04:24.023000000
38771,15,1,176,1,2025-04-29 23:04:19.633000000
38771,17,1,176,2,2025-05-02 14:47:22.563000000
38773,23,1,11,1,2025-04-29 23:04:19.637000000
38773,23,2,15,1,2025-04-29 23:04:19.640000000
38773,23,3,176,1,2025-04-29 23:04:19.640000000
38773,24,1,11,1,2025-04-29 23:04:19.637000000
38773,24,2,15,1,2025-04-29 23:04:19.640000000
38773,24,3,176,1,2025-04-29 23:04:19.640000000
38775,10,1,0,1,2025-04-29 23:04:24.027000000
38777,7,1,281,1,2025-04-29 23:04:19.640000000
38779,4,1,372,1,2025-04-29 23:04:15.383000000
38786,4,1,0,1,2025-04-29 23:04:24.027000000
38787,7,1,0,1,2025-04-29 23:04:18.863000000
38792,6,1,0,1,2025-04-29 23:04:24.030000000
38801,15,1,11,1,2025-04-29 23:04:17.500000000
38801,15,2,15,1,2025-04-29 23:04:17.500000000
38801,15,3,176,1,2025-04-29 23:04:17.503000000
38803,12,1,11,1,2025-04-29 23:04:17.503000000
38803,12,2,15,1,2025-04-29 23:04:17.507000000
38803,12,3,176,1,2025-04-29 23:04:17.507000000
38805,7,1,81,1,2025-04-29 23:04:16.917000000
38805,7,2,281,1,2025-04-29 23:04:16.920000000
